u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
8968,39,1,1,1,13,21632,0,Pass
8969,20,4,1,1,76,14,0,Pass
8970,20,40,200,5,8,10,0,Killed
8971,20,24,24,3,8,42,0,Pass
8972,20,24,120,3,7,131,0,Killed
8973,20,24,24,3,38,31,0,Pass
8974,20,24,24,3,31,61,0,Pass
8975,20,4,1,1,61,10,0,Pass
8976,20,40,200,5,6,5,0,Killed
8977,20,24,24,3,5,34,0,Pass
8978,20,24,120,3,6,156,0,Killed
8979,20,24,24,3,29,123,0,Killed
8980,20,48,240,6,132,409,0,Killed
8981,46,1,1,1,100,153,0,Failed
8982,20,24,24,3,308,13020,0,Killed
8983,20,24,120,3,11,202,0,Killed
8984,20,8,8,1,200,40,0,Pass
8985,20,16,80,2,12,91,0,Killed
8986,20,4,1,1,32,58,0,Pass
8987,20,24,24,3,59,43,0,Pass
8988,20,24,24,3,44,39,0,Pass
8989,20,4,1,1,39,59,0,Pass
8990,20,16,80,2,7,56,0,Killed
8991,1,1,1,1,11,4,0,Killed
8992,1,1,1,1,25,16,0,Pass
8993,20,24,24,3,17,41,0,Pass
8994,20,24,24,3,46,39,0,Pass
8995,46,1,1,1,33,160,0,Failed
8996,20,4,1,1,6,59,0,Pass
8997,20,16,80,2,9,50,0,Killed
8998,20,24,24,3,51,38,0,Pass
8999,20,24,24,3,38,41,0,Pass
9000,90,1,5,1,6,46,0,Killed
9001,20,4,1,1,35,57,0,Pass
9002,20,16,80,2,6,55,0,Killed
9003,20,24,24,3,53,42,0,Pass
9004,20,24,24,3,45,41,0,Pass
9005,20,4,1,1,42,58,0,Pass
9006,20,16,80,2,6,55,0,Killed
9007,20,24,24,3,54,39,0,Pass
9008,20,24,24,3,41,38,0,Pass
9009,5,8,1,1,19,1,0,Failed
9010,20,4,1,1,19,57,0,Pass
9011,20,16,80,2,8,50,0,Killed
9012,20,24,24,3,51,49,0,Pass
9013,20,24,24,3,49,41,0,Pass
9014,20,4,1,1,41,70,0,Pass
9015,20,16,80,2,10,60,0,Killed
9016,5,8,1,1,26,1,0,Failed
9017,20,24,24,3,36,46,0,Pass
9018,20,8,1,1,47,13,0,Pass
9019,20,16,80,2,7,10,0,Killed
9020,20,24,24,3,7,347,0,Pass
9021,59,1,1,1,19,7,0,Failed
9022,85,1,1,1,25,48,0,Killed
9023,59,1,1,1,9,166,0,Pass
9024,39,1,1,1,23,1590,0,Pass
9025,5,8,1,1,11,12,0,Pass
9026,5,8,1,1,22,6,0,Failed
9027,5,8,1,1,30,12,0,Failed
9028,5,8,1,1,49,1,0,Failed
9029,5,8,1,1,29,5,0,Failed
9030,85,1,1,1,51,176,0,Pass
9031,5,8,1,1,15,5,0,Failed
9032,20,8,1,1,68,55,0,Pass
9033,20,16,80,2,9,50,0,Killed
9034,85,1,1,1,15,1,0,Failed
9035,85,1,1,1,7,1,0,Failed
9036,20,24,24,3,26,95,0,Pass
9037,5,8,1,1,34,6,0,Failed
9038,20,8,1,1,64,11,0,Pass
9039,20,16,80,2,5,328,0,Killed
9040,20,8,1,1,7,157,0,Pass
9041,59,1,1,1,30,158,0,Pass
9042,90,1,5,1,26,92,0,Pass
9043,20,8,1,1,103,159,0,Pass
9044,90,1,5,1,10,513,0,Killed
9045,20,8,1,1,156,174,0,Pass
